timestamps population node_ids
2530.726 v1 224
169.713 v1 225
107.884 v1 225
2568.909 v1 224
2580.937 v1 224
2602.571 v1 224
2617.943 v1 224
2640.045 v1 224
2651.586 v1 224
2685.532 v1 224
2702.739 v1 224
2723.688 v1 224
2735.581 v1 224
2754.844 v1 224
2769.559 v1 224
2778.512 v1 224
2787.934 v1 224
2832.925 v1 224
2855.986 v1 224
2866.598 v1 224
2895.38 v1 224
2921.348 v1 224
2948.583 v1 224
2960.958 v1 224
2973.634 v1 224
2986.862 v1 224
2997.693 v1 224
61.49 v1 225
73.718 v1 225
91.864 v1 225
143.153 v1 225
697.945 v1 222
677.46 v1 222
664.771 v1 222
735.119 v1 218
760.844 v1 218
772.815 v1 218
787.406 v1 218
817.334 v1 218
836.849 v1 218
863.899 v1 218
888.664 v1 218
951.909 v1 218
963.512 v1 218
974.663 v1 218
989.887 v1 218
717.438 v1 218
1504.165 v1 218
1524.224 v1 218
1545.172 v1 218
1569.463 v1 218
1582.33 v1 218
1596.171 v1 218
1609.189 v1 218
1619.877 v1 218
1643.959 v1 218
1665.856 v1 218
1685.894 v1 218
1703.146 v1 218
1717.894 v1 218
1511.779 v1 218
707.846 v1 218
692.87 v1 218
676.892 v1 218
2895.277 v1 217
2913.384 v1 217
2937.965 v1 217
2952.115 v1 217
2964.073 v1 217
2973.287 v1 217
2988.772 v1 217
60.748 v1 218
77.509 v1 218
110.143 v1 218
141.215 v1 218
172.168 v1 218
238.369 v1 218
262.123 v1 218
338.485 v1 218
387.81 v1 218
501.428 v1 218
516.093 v1 218
527.084 v1 218
537.938 v1 218
548.499 v1 218
569.142 v1 218
590.601 v1 218
607.676 v1 218
626.27 v1 218
642.887 v1 218
664.476 v1 218
1730.084 v1 218
1745.463 v1 218
1759.006 v1 218
1769.76 v1 218
2461.557 v1 218
2469.972 v1 218
2477.789 v1 218
2562.565 v1 218
2575.314 v1 218
2602.151 v1 218
2613.48 v1 218
2637.404 v1 218
2660.034 v1 218
2696.395 v1 218
2721.791 v1 218
2730.687 v1 218
